feature	rep	val	estimate	pval	pval_corr
HDAC3	Rep 2	P97.5	0.23407127302668057	0	0
E4F1	Rep 2	P2.5	0.23386298181669218	0	0
MYBL2	Rep 2	estimate	0.2337937423655889	0	0
NANOG	Rep 2	P2.5	0.233766475641519	0	0
NIPBL	Rep 2	P2.5	0.23358989291830556	0	0
BAF155	Rep 2	P2.5	0.23357879701966655	0	0
CEBPB	Rep 2	estimate	0.23356849864392457	0	0
ERG	Rep 2	estimate	0.23354158375499717	0	0
SMAD1	Rep 2	P2.5	0.23353881606616672	0	0
KLF17	Rep 2	P97.5	0.23295796613366243	0	0
NFAT5	Rep 2	P2.5	0.23293864658712968	0	0
TFDP2	Rep 2	P2.5	0.23285237792115612	0	0
ZNF75A	Rep 2	estimate	0.23283377295479638	0	0
KDM4B	Rep 2	P2.5	0.23282078069103804	0	0
TEAD4	Rep 2	estimate	0.2327976462575474	0	0
HOXA3	Rep 2	P97.5	0.23266390477878768	0	0
JMJD1C	Rep 2	estimate	0.2326502672926763	0	0
YY1	Rep 2	estimate	0.23258917125273498	0	0
MEN1	Rep 2	P97.5	0.23255239268276096	0	0
ZNF276	Rep 2	estimate	0.23252474613192542	0	0
RBM39	Rep 2	P97.5	0.23248860983102562	0	0
ZNF217	Rep 2	P2.5	0.23248720796931982	0	0
LIN54	Rep 2	estimate	0.23248307466272639	0	0
PHF8	Rep 2	P2.5	0.23230205141406582	0	0
ZNF18	Rep 2	estimate	0.23203572061859326	0	0
TBL1X	Rep 2	estimate	0.23183952622200307	0	0
RB1	Rep 2	P2.5	0.231809367512924	0	0
CD74	Rep 2	P2.5	0.23180360674239567	0	0
KLF1	Rep 2	P2.5	0.23172317846768292	0	0
NFIB	Rep 2	estimate	0.231644530577029	0	0
BAP1	Rep 2	P2.5	0.23152852965661289	0	0
ZNF207	Rep 2	P97.5	0.23148498988743751	0	0
CREBBP	Rep 2	estimate	0.2314328133224677	0	0
TLE3	Rep 2	estimate	0.2314085449469911	0	0
